date,text,is_verified_use,retweet_count,favorite_count
2019-11-27 21:21:49,b'We need these VAR officials in the Premier League\n\n10 Times better than what we have.',False,9,44
2019-11-27 21:20:26,"b'Well said from super Frank lampard---On the lengthy VAR decision to award our second goal, Frank felt it was a less\xe2\x80\xa6 https://t.co/TIlTlIj9Fl'",False,0,0
2019-11-27 21:19:58,b'@tobyCAFC @Megita_ Those didn\xe2\x80\x99t affect us. The only thing it would do is slighly close the gap between us and City.\xe2\x80\xa6 https://t.co/qlPI3cft8d',False,0,0
2019-11-27 21:17:45,b'@BBCSport Liverpool think this is an EPL game where VAR decisions go their way',False,0,0
2019-11-27 21:16:24,b'VAR in CLEVELAND\n\nNapoli goal against Liverpool would not stand in EPL. They would either penalise for that nudge o\xe2\x80\xa6 https://t.co/RNihA7i3lF',False,0,0
2019-11-27 21:10:58,b'The EPL needs this VAR system from the cl',False,0,0
2019-11-27 21:10:34,b'@BBCMOTD My god VAR not giving liverpool a decision oh forgot this is the champions league not premier league.',False,0,0
2019-11-27 21:10:28,b'@henrywinter Looks like they\xe2\x80\x99re going to struggle without the help of premier league VAR to ensure they don\xe2\x80\x99t lose',False,0,0
2019-11-27 21:08:28,b'Andrew Robertson :But VAR was supposed to be on our side \n\nRef:Son this is not the EPL https://t.co/oYvatZNASt',False,6,20
2019-11-27 21:06:30,b'Merten through on goal against one defender (Lovren) of all people only had 1 outcome.\nUefa VAR officials for this\xe2\x80\xa6 https://t.co/ehWld4rqz2',False,0,0
2019-11-27 21:05:31,b'@UnitedStandMUFC Var and the premier league innit',False,0,0
2019-11-27 21:03:43,"b""Robertson: VAR is supposed to be on our side\n\nRef: This isn't Premier League. https://t.co/GvSvF5H2yj""",False,0,0
2019-11-27 21:03:00,"b""@GiveMeSport Well, well VAR went against them you know why it's not the premier league .""",False,0,0
2019-11-27 21:02:06,"b'@MelissaReddy_ I would not be doing much talking about VAR if I were a Liverpool fan.  VAR, whether directly or ind\xe2\x80\xa6 https://t.co/PVEzSeojXJ'",False,0,0
2019-11-27 21:02:02,"b'@TrollFootball Yes, because VAR is always on our side. Especially in the Premier League. https://t.co/wdAWc8vgdh'",False,0,13
2019-11-27 21:01:32,b'Can the premier league hire this uefa VAR officials?',False,0,5
2019-11-27 21:00:33,"b""Robertson: VAR is supposed to be on our side\n\nRef: This isn't Premier League. https://t.co/jcZEj7CqWR""",False,7641,24101
